"","Leased.Facility.Inventory.Report","X","X.1","X.2","X.3","X.4","X.5","X.6","X.7","X.8","X.9","X.10","X.11","X.12","X.13","X.14","X.15","X.16","X.17","X.18","X.19","X.20","X.21","X.22","X.23","X.24","X.25","X.26","X.27","X.28","X.29"
"75","Connecticut Valley","MONTEREY","MAIN OFFICE","244845001","444 MAIN RD","MONTEREY","MA","01245-9998","Dec-60","Landlord","12/1/2012","11/30/2017","A","A","None Specified","","","","CHARLES E SLATER JR","PO BOX 418","","","TYRINGHAM","MA","12640418","1,200","2,944","$11,800.00 ","$9.83 ","$0.00 ","$0.00 "
"76","Connecticut Valley","NEW BEDFORD","ACUSHNET BRANCH","245033001","178 S MAIN ST","ACUSHNET","MA","02743-9998","Sep-62","Landlord","9/1/2012","8/31/2017","A","A","Reimbursable","","","","RCS LAND MANAGEMENT LLC","1296 DRIFT RD","","","WESTPORT","MA","27901627","2,158","22,186","$26,960.00 ","$12.49 ","$32,370.00 ","$15.00 "
"77","Connecticut Valley","NEW BEDFORD","L L V PARKING","245032015","MIDDLE ST","NEW BEDFORD","MA","02740-9998","","Landlord","10/1/2015","9/30/2020","X","Z","None Specified","","1","5","GLORIA MELLO","C/O DANNYS AUTO BODY","223 KEMPTON ST","","NEW BEDFORD","MA","27406098","0","36,000","$21,120.00 ","$0.59 ","$23,232.00 ","$0.65 "
"78","Connecticut Valley","NEW BEDFORD","MT PLEASANT STA EMP PKG","245032019","789 MT PLEASANT STREET","NEW BEDFORD","MA","02745-9998","","USPS","5/26/2011","","X","Z","None Specified","","","","ROBERT DUBOIS","AND FERNANDA DUBOIS","789 MT PLEASANT ST","","NEW BEDFORD","MA","27454906","0","10,494","$32,566.00 ","$3.10 ","$0.00 ","$0.00 "
"79","Connecticut Valley","NEW BEDFORD","MT PLEASANT STA PKG","245032016","748 MOUNT PLEASANT ST","NEW BEDFORD","MA","02745-9998","","Landlord","7/1/2009","","X","Z","None Specified","","","","JOHN H BOWDEN","AND JACQUELINE BOWDEN","569 OLD FALL RIVER RD","","DARTMOUTH","MA","27471208","0","4,500","$16,200.00 ","$3.60 ","$0.00 ","$0.00 "
"80","Connecticut Valley","NEW BEDFORD","NORTH DARTMOUTH BR.","245036001","77 FAUNCE CORNER MALL RD","NORTH DARTMOUTH","MA","02747-9998","Oct-99","Landlord","10/19/1999","10/18/2019","A","A","Percentage","N","4","20","FAUNCE CORNER REALTY LLC","DBA FAUNCE CORNER MALL LLC","1 ANN AND HOPE WY","","CUMBERLAND","RI","28646918","8,596","1,781,604","$196,000.00 ","$22.80 ","$0.00 ","$0.00 "
"81","Connecticut Valley","NEW BEDFORD","NORTH STA.","245035001","282 COFFIN AVE","NEW BEDFORD","MA","02746-9998","Nov-52","Landlord","12/1/2015","11/30/2020","A","A","Reimbursable","","1","5","JLW REALTY CONST CO","584 SOUTH ST","","","BRIDGEWATER","MA","23242435","2,315","7,081","$30,960.00 ","$13.37 ","$34,410.00 ","$14.86 "
"82","Connecticut Valley","NEW BEDFORD","ORCHARD ST. STA.","245037001","584 ORCHARD ST","NEW BEDFORD","MA","02744-9998","Feb-88","USPS (Not Roof)","2/1/2013","1/31/2018","A","A","Reimbursable","N","2","10","RENAISSANCE DEV CORP","PO BOX 8819","","","CRANSTON","RI","29200819","2,560","13,490","$48,154.00 ","$18.81 ","$64,094.00 ","$25.04 "
"83","Connecticut Valley","NEW BEDFORD","SOUTH DARTMOUTH BR.","245038001","668 DARTMOUTH ST","SOUTH DARTMOUTH","MA","02748-3099","Sep-65","Landlord","9/1/2015","8/31/2020","A","A","Reimbursable","","","","RCS LAND MANAGEMENT LLC","1296 DRIFT RD","","","WESTPORT","MA","27901627","3,736","33,243","$56,220.00 ","$15.05 ","$0.00 ","$0.00 "
"84","Connecticut Valley","NORTH ATTLEBORO","ATTLEBORO FALLS STA","245236001","215 COMMONWEALTH AVE","ATTLEBORO FALLS","MA","02763-9998","Aug-62","USPS (Not Roof)","8/1/2011","7/31/2016","A","A","Reimbursable","","","","THE BULLUKIAN FAMILY","REALTY TRUST","ATTN: BARBARA CARLSON","PO BOX 488","ALFRED","ME","40020488","2,193","20,843","$36,000.00 ","$16.42 ","$41,667.00 ","$19.00 "
"85","Connecticut Valley","NORTH ATTLEBORO","MPO PARKING","245236003","EAST ST. & BRUCE AVE.","NORTH ATTLEBORO","MA","02760-9998","","Landlord","11/1/2011","10/31/2016","X","Z","None Specified","","","","EAST BRUCE CORP","C/O ALLEN O RILEY","29 REFLECTION DR","","SANDWICH","MA","25633109","0","19,462","$37,250.00 ","$1.91 ","$38,924.00 ","$2.00 "
"86","Connecticut Valley","NORTH ATTLEBORO","PLAINVILLE BRANCH","245236002","127 SOUTH ST","PLAINVILLE","MA","02762-9998","Jun-61","USPS (Not Roof)","6/1/2011","5/31/2016","A","A","Reimbursable","","","","NORMA ANN STILWELL","REVOCABLE REALTY TRUST","4999 KAHALA AVE APT 366","","HONOLULU","HI","968165468","2,314","20,000","$48,800.00 ","$21.09 ","$50,908.00 ","$22.00 "
"87","Connecticut Valley","NORTH DIGHTON","MAIN OFFICE","245406004","1120 SOMERSET AVE","NORTH DIGHTON","MA","02764-9998","Apr-95","Landlord","4/21/2015","4/20/2020","A","A","None Specified","","1","5","JOSEPH FIGUEIREDO AND","MARIA FIGUEIREDO","PO BOX 485","","NORTH DIGHTON","MA","27640485","3,600","44,500","$84,960.00 ","$23.60 ","$97,704.00 ","$27.14 "
"88","Connecticut Valley","NORTH HATFIELD","MAIN OFFICE","245576001","162 DEPOT RD","NORTH HATFIELD","MA","01066-9998","Jul-64","Landlord","2/1/2013","1/31/2018","A","A","None Specified","N","","","MICHAEL MCGRATH","69 MAIN ST","","","HATFIELD","MA","10389761","599","1,071","$14,832.00 ","$24.76 ","$0.00 ","$0.00 "
"89","Connecticut Valley","NORTHFIELD","MAIN OFFICE","245491001","136 MAIN ST","NORTHFIELD","MA","01360-9998","Dec-70","Landlord","12/1/2012","11/30/2017","A","A","None Specified","","","","GREENFIELD PILGRIM 2 LLC","ATTN: RUSSELL E HADDLETON","PO BOX 1298","","HYANNIS","MA","26011298","2,112","40,000","$24,000.00 ","$11.36 ","$0.00 ","$0.00 "
"90","Connecticut Valley","NORTON","MAIN OFFICE","245797001","6 TAUNTON AVE","NORTON","MA","02766-2707","May-57","Landlord","6/1/2014","5/31/2019","A","A","Reimbursable","","1","5","WHEATON COLLEGE","ATTN: BUSINESS OFFICE","26 EAST MAIN ST","","NORTON","MA","27662322","5,840","13,750","$81,000.00 ","$13.87 ","$89,100.00 ","$15.26 "
"91","Connecticut Valley","OAKHAM","MAIN OFFICE","245899002","541 N BROOKFIELD RD","OAKHAM","MA","01068-9806","Feb-90","USPS (Not Roof)","2/1/2015","1/31/2020","A","A","None Specified","N","1","5","GARRETT M DONLIN","1820 OLD TURNPIKE RD","","","OAKHAM","MA","10689897","1,475","7,175","$18,000.00 ","$12.20 ","$21,000.00 ","$14.24 "
"92","Connecticut Valley","OTIS","MAIN OFFICE","246018002","45 N MAIN RD","OTIS","MA","01253-9998","May-85","USPS","5/1/2015","4/30/2020","A","A","Reimbursable","","1","5","FRANCIS J EHRHARDT TRUST","FRANCIS J EHRHARDT TRUSTEE","MARJORIE A EHRHARDT TRUSTEE","75 KNOLLWOOD DR","OLD SAYBROOK","CT","64752925","2,002","12,406","$33,754.00 ","$16.86 ","$40,541.00 ","$20.25 "
"93","Connecticut Valley","PALMER","PARKING","246052001","1057 PARK ST","PALMER","MA","01069-9998","","USPS","8/8/1995","","X","O","None Specified","N","","","SECOND CONGREGATNL CH","GORDON E STONE CHM TSTE","80 PLEASANT ST","","PALMER","MA","10691734","0","9,975","$0.00 ","$0.00 ","$0.00 ","$0.00 "
"94","Connecticut Valley","PETERSHAM","MAIN OFFICE","246137001","32 SPRING ST","PETERSHAM","MA","01366-9998","Oct-66","Landlord","10/1/2011","9/30/2016","A","A","Reimbursable","","1","5","SHIRLEY L LAM","814 WHEELWRIGHT RD","","","BARRE","MA","10058880","1,501","5,567","$12,360.00 ","$8.23 ","$13,285.00 ","$8.85 "
"95","Connecticut Valley","PITTSFIELD","ADDT'L PARKING LOT","246188002","26 WILLIS STREET","PITTSFIELD","MA","01201-9998","","USPS","1/1/2014","12/31/2018","X","Z","None Specified","","1","5","REIGNING LOVE CHRISTIAN","CENTER INC","PO BOX 1935","","PITTSFIELD","MA","12021935","0","10,236","$20,000.00 ","$1.95 ","$21,000.00 ","$2.05 "
"96","Connecticut Valley","PLAINFIELD","MAIN OFFICE","246205001","6 S CENTRAL ST","PLAINFIELD","MA","01070-9998","Jul-64","Landlord","2/1/2015","1/31/2020","A","A","None Specified","","","","PETER O'BRIEN AND","PAULA WELCHMAN O'BRIEN","2 S CENTRAL ST","","PLAINFIELD","MA","10709769","273","323","$7,416.00 ","$27.16 ","$0.00 ","$0.00 "
"97","Connecticut Valley","RAYNHAM","MAIN OFFICE","246375001","681 BROADWAY","RAYNHAM","MA","02767-1734","Jul-62","USPS (Not Roof)","7/1/2012","6/30/2017","A","A","Reimbursable","N","","","THE HALL REALTY TRUST","ATTN: DAVID J BUCKLEY JR","204 N SIGNAL HILL ROAD","","NORTH BARRINGTON","IL","600101931","1,864","22,151","$25,000.00 ","$13.41 ","$27,250.00 ","$14.62 "
"98","Connecticut Valley","RAYNHAM CENTER","MAIN OFFICE","246392001","622 N MAIN ST","RAYNHAM CENTER","MA","02768-9800","Aug-69","USPS (Not Roof)","8/1/2013","7/31/2018","A","A","Percentage","","1","5","C A S T REALTY TRUST","PO BOX 162","","","RAYNHAM CENTER","MA","27680162","889","889","$17,726.00 ","$19.94 ","$18,660.00 ","$20.99 "
"99","Connecticut Valley","REHOBOTH","MAIN OFFICE","246426002","275 WINTHROP ST","REHOBOTH","MA","02769-1819","Jun-83","Landlord","6/1/2011","5/31/2016","A","A","Percentage","","1","5","JOSEPH VIVEIROS JR","115 WILLIAMSON DR","","","SOMERSET","MA","27263224","2,879","27,979","$33,253.50 ","$11.55 ","$33,253.50 ","$11.55 "
"100","Connecticut Valley","RICHMOND","MAIN OFFICE","246443001","2089 STATE RD","RICHMOND","MA","01254-9998","Mar-55","Landlord","3/1/2015","2/29/2020","A","A","None Specified","N","","","JEFFREY G REA","AND MARLA S REA","TRUSTEES OF TCB NOMINEE TRST","PO BOX 1519","STOCKBRIDGE","MA","12621519","1,063","1,083","$18,300.00 ","$17.22 ","$0.00 ","$0.00 "
"101","Connecticut Valley","ROCHESTER","MAIN OFF/DEL DIS CTR","246494003","603 NEW BEDFORD RD","ROCHESTER","MA","02770-4125","Nov-92","Landlord","11/1/2012","10/31/2017","A","A","None Specified","Y","1","5","GRANT PROPERTY INC","28 WOLCOTT ST","","","READVILLE","MA","21362432","8,374","261,360","$125,928.00 ","$15.04 ","$138,520.80 ","$16.54 "
"102","Connecticut Valley","ROWE","MAIN OFFICE","246545002","321 ZOAR RD","ROWE","MA","01367-9998","Oct-86","USPS (Not Roof)","10/1/2011","9/30/2016","A","A","None Specified","","2","10","TOWN OF ROWE","TOWN HALL","PO BOX 462","","ROWE","MA","13670462","208","208","$5,697.00 ","$27.39 ","$6,125.00 ","$29.45 "
"103","Connecticut Valley","RUSSELL","MAIN OFFICE","246596002","58 MAIN ST","RUSSELL","MA","01071-9998","Dec-84","USPS (Not Roof)","12/1/2012","11/30/2017","A","A","Reimbursable","","","","GERI S EVERMAN","1924 GRAND AVE","","","SAN RAFAEL","CA","949011927","1,362","5,734","$22,818.00 ","$16.75 ","$22,818.00 ","$16.75 "
"104","Connecticut Valley","SANDISFIELD","MAIN OFFICE","246706003","83 SANDISFIELD RD","SANDISFIELD","MA","01255-9998","Dec-80","Landlord","12/1/2015","11/30/2020","A","A","None Specified","","1","5","THE RUDOLPH A ANNECHARICO 1993","REVOCABLE TRUST","33 STUMP RD","","SANDISFIELD","MA","12559755","660","22,000","$11,000.00 ","$16.67 ","$11,550.00 ","$17.50 "
"105","Connecticut Valley","SAVOY","LAND LEASE - DBU","246766003","S/S ROUTE 116","SAVOY","MA","01256-9998","","USPS","6/1/2012","5/31/2017","X","Z","None Specified","","1","5","TOWN OF SAVOY MA","720 MAIN RD","","","SAVOY","MA","12569387","0","1,344","$2,200.00 ","$1.64 ","$2,400.00 ","$1.79 "
"106","Connecticut Valley","SEEKONK","MAIN OFFICE","246817002","156 TAUNTON AVE","SEEKONK","MA","02771-9998","Apr-01","USPS (Not Roof)","4/18/2001","4/17/2021","P","P","Percentage","N","","","SEEKONK MANAGEMENT LLC","C/O THE GROSSMAN CO INC","859 WILLARD ST STE 501","","QUINCY","MA","21697469","6,858","75,000","$190,000.00 ","$27.70 ","$0.00 ","$0.00 "
"107","Connecticut Valley","SHEFFIELD","MAIN OFFICE","246885001","99 MAIN ST","SHEFFIELD","MA","01257-9701","Nov-66","Landlord","11/1/2014","10/31/2019","A","A","None Specified","","1","5","BERKSHIRE BANK","ATTN PETER MERWIN","PO BOX 1308","","PITTSFIELD","MA","12021308","2,126","2,346","$35,800.00 ","$16.84 ","$38,000.00 ","$17.87 "
"108","Connecticut Valley","SHELBURNE FALLS","MAIN OFFICE","246902001","7 CHURCH ST","SHELBURNE FALLS","MA","01370-9998","Aug-70","USPS (Not Roof)","8/1/2014","7/31/2019","A","A","Reimbursable","","1","5","BARCHESTER CORPORATION","3234 RIVERVIEW LN","","","DAYTONA BEACH","FL","321186218","3,596","25,330","$32,400.00 ","$9.01 ","$33,600.00 ","$9.34 "
"109","Connecticut Valley","SHUTESBURY","MAIN OFFICE","247021001","8 WENDELL RD","SHUTESBURY","MA","01072-9998","Jul-65","Landlord","5/1/2014","4/30/2019","A","A","None Specified","","1","5","MARY E DIHLMANN","PO BOX 244","","","SHUTESBURY","MA","10720244","1,249","5,213","$24,355.50 ","$19.50 ","$25,604.50 ","$20.50 "
"110","Connecticut Valley","SOUTH BARRE","MAIN OFFICE","247208001","46 MAIN ST","SOUTH BARRE","MA","01074-9998","Sep-59","Landlord","9/1/2011","8/31/2016","A","A","None Specified","","","","SGF LLC","77 PEACHTREE PL NE UNIT 502","","","ATLANTA","GA","303094476","1,891","4,141","$20,000.00 ","$10.58 ","$26,096.00 ","$13.80 "
"111","Connecticut Valley","SOUTH DEERFIELD","MAIN OFFICE","247361002","60 SUGARLOAF ST STE 1","SOUTH DEERFIELD","MA","01373-9998","Jun-01","Landlord","6/29/2001","6/28/2021","P","P","Percentage","","3","15","VALLEY REALTY CO","8342 MACON RD","","","CORDOVA","TN","380188554","4,061","42,918","$108,923.60 ","$26.82 ","$90,000.00 ","$22.16 "
"112","Connecticut Valley","SOUTH EGREMONT","MAIN OFFICE","247429002","64 MAIN ST","SOUTH EGREMONT","MA","01258-9998","May-04","Landlord","5/22/2004","5/21/2029","A","A","Percentage","","4","20","ANGELA BAZIGOS","1811 EATON AVENUE","","","SAN CARLOS","CA","940704726","2,577","175,678","$80,500.00 ","$31.24 ","$82,950.00 ","$32.19 "
"113","Connecticut Valley","SOUTH LEE","MAIN OFFICE","247565002","10 CHURCH ST","SOUTH LEE","MA","01260-9998","Dec-86","Landlord","12/1/2014","11/30/2019","A","A","None Specified","","","","TOWN TREASURER","TOWN OF LEE","TOWN HALL","32 MAIN ST","LEE","MA","12381612","740","740","$15,000.00 ","$20.27 ","$0.00 ","$0.00 "
"114","Connecticut Valley","SOUTHAMPTON","MAIN OFFICE","247123002","8 POMEROY MEADOW RD","SOUTHAMPTON","MA","01073-9998","Oct-75","Shared","11/1/1998","10/31/2018","P","P","Reimbursable","","4","20","TRPOCO INC","PO BOX 383","","","SOUTHAMPTON","MA","10730383","5,091","49,312","$103,686.00 ","$20.37 ","$88,000.00 ","$17.29 "
"115","Connecticut Valley","SOUTHFIELD","MAIN OFFICE","247463003","224 NORFOLK RD","SOUTHFIELD","MA","01259-9998","Jul-91","USPS (Not Roof)","7/1/2011","6/30/2016","A","A","None Specified","N","1","5","BUGGY WHIP FACTORY LLC","PO BOX 141","","","SOUTHFIELD","MA","12590141","1,100","1,100","$10,004.00 ","$9.09 ","$10,504.00 ","$9.55 "
"116","Connecticut Valley","SOUTHWICK","MAIN OFFICE","247769003","653 COLLEGE HWY","SOUTHWICK","MA","01077-9998","Nov-99","Shared","11/12/1999","11/11/2019","A","A","Reimbursable","Y","5","25","J R REALTY INC","213 GRANBY RD","","","CHICOPEE","MA","10133547","6,533","128,199","$126,884.00 ","$19.42 ","$145,000.00 ","$22.20 "
"117","Connecticut Valley","SPRINGFIELD","BRIGHTWOOD STA.","247820022","3065 MAIN ST STE 1","SPRINGFIELD","MA","01107-9998","Nov-83","Landlord","11/1/2013","10/31/2016","A","A","None Specified","N","1","3","BANK OF AMERICA","NC2-150-03-06","ATTN: RMA71950000","13850 BALLANTYNE CORP PLACE","CHARLOTTE","NC","282772829","1,541","11,040","$26,646.00 ","$17.29 ","$33,902.00 ","$22.00 "
"118","Connecticut Valley","SPRINGFIELD","DBU-TOWER SQUARE","247820023","1500 MAIN ST","SPRINGFIELD","MA","01115-1001","Feb-82","Unknown","8/1/2012","","E","E","None Specified","N","","","MASS MUTUAL LIFE INS CO","PO BOX 15503","","","SPRINGFIELD","MA","11155503","452","452","$0.00 ","$0.00 ","$0.00 ","$0.00 "
"119","Connecticut Valley","SPRINGFIELD","FINANCE STA PARKING","247820043","1060 MAIN ST","SPRINGFIELD","MA","01103-9998","","Shared","1/1/2016","","X","Z","None Specified","","","","1095 MAIN STREET","IRREVOCABLE TRUST","72 PROSPECT HILLS DR","","EAST LONGMEADOW","MA","10283178","0","900","$2,160.00 ","$2.40 ","$0.00 ","$0.00 "
"120","Connecticut Valley","SPRINGFIELD","FINANCE STATION","247820036","1149 MAIN ST","SPRINGFIELD","MA","01103-9998","Dec-88","Landlord","1/1/2014","12/31/2018","A","A","None Specified","","","","COLONIAL EXCHANGE BUILDING LLC","785 WILLIAMS ST # 352","","","LONGMEADOW","MA","11062063","2,250","2,250","$31,500.00 ","$14.00 ","$0.00 ","$0.00 "
"121","Connecticut Valley","SPRINGFIELD","INDIAN ORCHARD","247820013","19 OAK ST","INDIAN ORCHARD","MA","01151-9998","Nov-60","Landlord","11/1/2013","10/31/2018","A","A","Reimbursable","","","","KERIN MOTORS INC","PO BOX 997","","","CLARKSDALE","MS","386140997","3,675","4,379","$40,448.00 ","$11.01 ","$0.00 ","$0.00 "
"122","Connecticut Valley","SPRINGFIELD","INDIAN ORCHARD PKG","247820038","OAK STREET","SPRINGFIELD","MA","01151-9998","","Landlord","11/1/2013","10/31/2018","X","Z","None Specified","","","","ORCHARD REALTY INC","% HEATBATH CORP","PO BOX 51048","","INDIAN ORCHARD","MA","11515048","0","4,590","$9,300.00 ","$2.03 ","$0.00 ","$0.00 "
"123","Connecticut Valley","SPRINGFIELD","MASON SQUARE STATION","247820006","914 STATE ST","SPRINGFIELD","MA","01109-9998","Aug-50","Landlord","8/1/2015","7/31/2020","A","A","Reimbursable","","1","5","RAYMOND RIVARD","C/O J & R REALTY","38 WAH-WAH TAYSEE RD","","HARWICH PORT","MA","26462028","5,123","11,233","$46,224.00 ","$9.02 ","$50,846.00 ","$9.93 "
"124","Connecticut Valley","SPRINGFIELD","PARKING (50)","247820033","95-101 OAKLAND ST.","SPRINGFIELD","MA","01108-9998","","Landlord","9/1/2015","8/31/2020","X","Z","Reimbursable","","","","MICHELE A INSKO","LIVING REVOCABLE TRUST","45 MEADOW GLEN","","IRVINE","CA","926021624","0","17,000","$22,337.49 ","$1.31 ","$0.00 ","$0.00 "
"125","Connecticut Valley","STOCKBRIDGE","MAIN OFFICE","247905001","1 ELM ST","STOCKBRIDGE","MA","01262-9998","Sep-61","Landlord","9/1/2012","8/31/2017","A","A","Reimbursable","","1","5","OK MASS REALTY LLC","619 PALISADE AVE","","","ENGLEWOOD CLIFFS","NJ","76320265","2,200","15,741","$67,000.00 ","$30.45 ","$67,000.00 ","$30.45 "
"126","Connecticut Valley","SUNDERLAND","MAIN OFFICE","248007001","12 GARAGE RD","SUNDERLAND","MA","01375-9998","Mar-74","Landlord","3/1/2014","2/28/2019","A","A","Reimbursable","","1","5","MATTHEW A MOTAMEDI","AND STEPHANIE B MOTAMEDI","64 PROSPECT AVE","","NORTHAMPTON","MA","10601626","1,856","13,447","$25,056.00 ","$13.50 ","$26,308.00 ","$14.17 "
"127","Connecticut Valley","THORNDIKE","MAIN OFFICE","248126002","36 CHURCH ST","THORNDIKE","MA","01079-9998","Aug-83","USPS (Not Roof)","8/1/2013","7/31/2018","A","A","Reimbursable","","1","5","FRANCIS J EHRHARDT TRUST","FRANCIS J EHRHARDT TRUSTEE","MARJORIE A EHRHARDT TRUSTEE","75 KNOLLWOOD DR","OLD SAYBROOK","CT","64752925","1,231","10,321","$21,984.00 ","$17.86 ","$23,083.00 ","$18.75 "
"128","Connecticut Valley","THREE RIVERS","MAIN OFFICE","248143001","2020 BRIDGE ST","THREE RIVERS","MA","01080-9998","Apr-65","Landlord","1/1/2016","12/31/2020","A","A","None Specified","","1","5","HADLEY PATH LLC","PO BOX 376","","","WEST BROOKFIELD","MA","15850376","2,944","10,797","$48,500.00 ","$16.47 ","$50,925.00 ","$17.30 "
"129","Connecticut Valley","WALES","MAIN OFFICE","248347001","2 MONSON RD","WALES","MA","01081-9998","Jan-65","Landlord","5/1/2015","4/30/2020","A","A","None Specified","","1","5","JTL CONSTRUCTION LLC","91 MAIN ST","","","WALES","MA","10819777","845","5,121","$12,900.00 ","$15.27 ","$14,190.00 ","$16.79 "
"130","Connecticut Valley","WARREN","DPBU","248449003","85 WINTHROP TER","WARREN","MA","01083-9700","Feb-95","Landlord","2/24/1995","","P","P","None Specified","N","","","WARREN HOUSING AUTHORITY","PO BOX 939","","","WARREN","MA","10830939","120","280","$0.00 ","$0.00 ","$0.00 ","$0.00 "
"131","Connecticut Valley","WARREN","MAIN OFFICE","248449001","16 MILTON O FOUNTAIN WAY","WARREN","MA","01083-9998","Jan-63","Shared","1/1/2014","12/31/2018","P","P","Reimbursable","","","","JOAN A LAVIGNE","PO BOX 694","","","WARREN","MA","10830694","2,150","18,225","$30,500.00 ","$14.19 ","$0.00 ","$0.00 "
"132","Connecticut Valley","WARREN","WEST WARREN BR","248449002","2282 MAIN ST","WEST WARREN","MA","01092-9998","Sep-52","Landlord","4/1/2012","3/31/2017","A","A","None Specified","","","","DONNA L FLORIA","ANTHONY M FLORIA","PO BOX 460","","WEST WARREN","MA","10920460","2,070","3,166","$25,550.00 ","$12.34 ","$27,614.00 ","$13.34 "
"133","Connecticut Valley","WENDELL","MAIN OFFICE","248534002","59 LOCKES VILLAGE RD","WENDELL","MA","01379-9998","Dec-89","USPS (Not Roof)","12/1/2014","11/30/2019","A","A","None Specified","N","","","PATRICIA SCUTARI","PO BOX 763","","","WENDELL","MA","13790763","1,380","1,555","$18,000.00 ","$13.04 ","$0.00 ","$0.00 "
"134","Connecticut Valley","WENDELL DEPOT","MAIN OFFICE","248551001","466 WENDELL DEPOT RD","WENDELL DEPOT","MA","01380-9998","Jul-82","Landlord","7/1/2014","6/30/2019","A","A","None Specified","","2","10","ANNA M C B HARTJENS","270 WENDELL DEPOT RD","","","WENDELL DEPOT","MA","13809702","432","882","$6,000.00 ","$13.89 ","$6,425.00 ","$14.87 "
"135","Connecticut Valley","WEST SPRINGFIELD","EMPLOYEE PARKING","249163901","11 Central Street","WEST SPRINGFIELD","MA","01089-9998","","Landlord","3/1/2016","2/28/2017","X","P","","","","","KAY HARVEY ACADEMY","OF SPRINGFIELD, INC","C/O ROBERT D WROBLE, TREASURER","4551 GOLF SHORES BOULEVARD, APT # 1","NAPLES","FL","341032219","0","0","$10,800.00 ","$0.00 ","$0.00 ","$0.00 "
"136","Connecticut Valley","WEST STOCKBRIDGE","MAIN OFFICE","249197002","4 CENTER ST","WEST STOCKBRIDGE","MA","01266-9998","Jun-76","Landlord","7/1/2011","6/30/2016","A","A","Reimbursable","","1","5","O'LEARY VINCUNAS LLC","PO BOX 528","","","AGAWAM","MA","10010528","1,856","33,066","$20,240.00 ","$10.91 ","$22,264.00 ","$12.00 "
"137","Connecticut Valley","WESTPORT","CENTRAL VILLAGE STATION","249129009","10 ADAMSVILLE RD","WESTPORT","MA","02790-5000","Dec-98","Shared","12/17/1998","12/16/2018","P","P","Reimbursable","Y","2","","DANIEL TRIPP AND","PAMELA TRIPP","PO BOX 3988","","WESTPORT","MA","27900298","2,937","37,160","$75,000.00 ","$25.54 ","$75,000.00 ","$25.54 "
"138","Connecticut Valley","WESTPORT","MAIN OFFICE","249129001","649 STATE RD","WESTPORT","MA","02790-9998","Jan-67","USPS (Not Roof)","1/1/2007","12/31/2016","A","A","Reimbursable","","","","M H PARSONS & SONS","LUMBER COMPANY","PO BOX 450","","YORK","ME","39090450","3,267","22,100","$42,000.00 ","$12.86 ","$45,375.00 ","$13.89 "
"139","Connecticut Valley","WESTPORT","NOQUOCHOKE STA.","249129002","529 OLD COUNTY RD","WESTPORT","MA","02790-1180","Mar-55","Landlord","7/1/2015","6/30/2020","A","A","Reimbursable","","1","5","MICHAEL J MENDES SR","168 HAYDEN AVE","","","TIVERTON","RI","28782122","926","5,826","$11,500.00 ","$12.42 ","$12,650.00 ","$13.66 "
"140","Connecticut Valley","WESTPORT","PARKING","249129003","655 STATE RD","WESTPORT","MA","02790-9998","","Landlord","7/13/2012","","X","A","None Specified","","","","ROUTE 6 REALTY CORP","C/O KEN COELHO","300 BRIGGS RD","","WESTPORT","MA","27904026","0","3,000","$2,400.00 ","$0.80 ","$0.00 ","$0.00 "
"141","Connecticut Valley","WESTPORT POINT","MAIN OFFICE","249146001","1974 MAIN RD","WESTPORT POINT","MA","02791-9800","Apr-57","Landlord","4/1/2011","","A","A","None Specified","","","","DERALD L LINDAMAN","AND/OR ANNE M LINDAMAN","PO BOX 41","","BONITA SPRINGS","FL","341330041","525","825","$24,000.00 ","$45.71 ","$0.00 ","$0.00 "
"142","Connecticut Valley","WHATELY","MAIN OFFICE","249333001","196 CHESTNUT PLAIN RD","WHATELY","MA","01093-9998","Jul-57","Landlord","8/1/2015","7/31/2020","A","A","None Specified","","","","WHATELY HISTORICAL","SOCIETY INC","PO BOX 7","","WHATELY","MA","10930007","420","6,420","$5,000.00 ","$11.90 ","$0.00 ","$0.00 "
"143","Connecticut Valley","WHEELWRIGHT","MAIN OFFICE","249350001","60 CHURCH LN","WHEELWRIGHT","MA","01094-9998","Aug-70","Landlord","1/1/2014","12/31/2018","A","A","None Specified","","","","COMO'S INC","MICHAEL P COMO, PRES","PO BOX 427","","WEST WARREN","MA","10920427","576","4,356","$12,000.00 ","$20.83 ","$0.00 ","$0.00 "
"144","Connecticut Valley","WILLIAMSBURG","MAIN OFFICE","249469001","1 WILLIAMS ST","WILLIAMSBURG","MA","01096-9998","Jan-62","USPS (Not Roof)","6/1/2013","5/31/2018","A","A","Reimbursable","","","","M H PARSONS & SONS","LUMBER COMPANY","PO BOX 450","","YORK","ME","39090450","2,030","12,736","$30,000.00 ","$14.78 ","$10.00 ","$0.00 "
"145","Connecticut Valley","WORTHINGTON","MAIN OFFICE","249656001","2 PACKARD PARK","WORTHINGTON","MA","01098-9998","Mar-55","Landlord","10/1/2012","9/30/2017","A","A","None Specified","","1","5","MICHAEL P FRAZIER","2 PACKARD COMMON","","","WORTHINGTON","MA","10989527","875","2,350","$11,500.00 ","$13.14 ","$12,075.00 ","$13.80 "
"146","Greater Boston","ABINGTON","ANTENNA SITE","512756019","485 N QUINCY STREET","ABINGTON","MA","02351-3000","","Landlord","7/1/2015","6/30/2016","X","A","","","4","4","FILLEBROWN TOWER INC","PO BOX 126","","","AVON","MA","23220126","0","1,000","$11,025.00 ","$11.03 ","$11,576.25 ","$11.58 "
